boro,borough,boardNumber,agencyAcronym,responseId,communityBoardID,isDeleted,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,address,siteOrFacility,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,supporter1,supporter2,currentFYAgencyResponse,currentFYAgencyCategoryResponse,currentFYRanking,currentYearID
BX,Bronx,1,NYPL,4569,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Expense,"Library facilities, equipment and programs","Extend library hours, expand library programs, and enhance library collections","Extend library hours, expand library programs, and enhance library collections",,"Increase Funding for New York Public Library Services in the District. In order to provide the opportunity for district children and youth to fully participate in the New York Public library's many services, funding for the Mott Haven and Woodstock branches needs to be increased to allow for all libraries to be open six days and at least forty-two hours a week. The New York Public Library and Community Board One request that the City restore funding to provide robust six day service including increased hours, diverse programming, strong collections and sufficient staff to support these functions. In these challenging economic times, the services provided through the Library are needed by New Yorkers more than ever. (Previous Tracking Codes: 101200801E)",No,,,,,,,,,,,,,All libraries are open six days a week.,This request has already been completed.,1,8239108-4569-2027-BX01-E
BX,Bronx,1,SCA,4570,BX1,,"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade an elementary school,Renovate or upgrade an elementary school,,"Funding for the placement of critical air circulation and conditioning system in PS1 located at 335 East 152nd Street, the Courtlandt School.    Community Board 1 is within the most profound asthma corridor of our City.  We voice  our concerns about the current conditions for learning in all of our schools.  However, in PS1 the air quality and circulation is extremely poor.  Its over heated conditions are not conducive for learning and is having an adverse impact on the learning environment for our children.  We advocate for the allocation of Capital funding for construction of an air condition system within the school.",Yes,"PS 1, Bronx, NY, USA",PS1,,,,,,,,,,,PROJECT IS IN PROCESS.,Agency supports and can accommodate.,2,8239108-4570-2027-BX01-C
BX,Bronx,1,NYPD,4571,BX1,,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional uniformed officers,Hire additional uniformed officers,,"Provide and assign more Police Officers to the 40th Police Precinct and to the Police Service Area 7 of the Housing Bureau as well as the Transit Police.    Due to the proliferation of illegal gun possession and rise in shootings and homicides in our streets and Housing Authority Developments, there is a need for more police presence within the 10 sectors of the 40th Precinct. Additionally, there is a need for more officers to enforce truck traffic and double-parking.",No,,,,,,,,,,,,,NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy. ,Agency supports but cannot accommodate.,1,8239108-4571-2027-BX01-E
BX,Bronx,1,DOT,4572,BX1,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Upgrade illumination on existing street lighting in the District.    Street lighting throughout the entire District at night does not appear to be providing the proper illumination to support public safety.  The Board requests for an upgrade ad increase in foot-candles on the existing lamp poles, including within all pedestrian underpasses in the District.",No,,,,,,,,,,,,,More information is needed on the locations to better address the request. ,Agency supports but cannot accommodate.,1,8239108-4572-2027-BX01-C
BX,Bronx,1,DOT,4573,BX1,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Fund major improvements including additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues.    There is a need for additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues as it is dangerous for residents that have to pass through these locations due to inadequate lighting.",No,,,,,,,,,,,,,The agency can conduct a study to see if additional streetlighting is warranted at the locations mentioned.,Agency supports and can accommodate.,2,8239108-4573-2027-BX01-C
BX,Bronx,1,DOHMH,4574,BX1,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Add Funding for Asthma Treatment. Bronx Community District #1 has been designated as part of the Asthma Corridor. The Municipal Hospital in our district. Lincoln Medical & Mental Health Center, handles approximately 50,000 pediatric visits and 45,000 pediatric emergency room visits, 5% of which are Asthma related. Additional funding is needed for Asthma Education and case management assistance.",No,,,,,,,,,,,,,We agree that additional funding is needed to but there are no available resource as this time ,This request has already been completed.,1,8239108-4574-2027-BX01-E
BX,Bronx,1,DYCD,4575,BX1,,"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,Youth workforce development,Other youth workforce development requests,Other youth workforce development requests,,Fund youth employment during the school year.    There is a high rate of unemployment among our youth population.  Part-time jobs are needed for students during the winter and spring sessions while attending school.,No,,,,,,,,,,,,,"DYCD offers several programs for school-year employment, including Work, Learn and Grow, Advance and Earn, and Learn and Earn. ",This request has already been completed.,1,8239108-4575-2027-BX01-E
BX,Bronx,1,DOHMH,4576,BX1,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address HIV/AIDS or other infectious diseases,"Provide more information and services related to STIs, HIV/AIDS, and family planning","Provide more information and services related to STIs, HIV/AIDS, and family planning",,"Add funds for AIDS Education, Teenage Pregnancy and Infant Mortality Programs in CD 1.    More of these programs are needed to reach out to our Elementary and High School students as well as to the youth in our Community District.",No,,,,,,,,,,,,,"We agree that additional funding would be helpful however, teen pregnancy rates have been declining in NYC as are HIV/STD rates among youth. Suggest reconsidering target audience as HIV/STD rates are going up among adults and the elderly population ",This request has already been completed.,2,8239108-4576-2027-BX01-E
BX,Bronx,1,DPR,4577,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Improve the quality/staffing of existing programs offered in parks or recreational centers,Improve the quality/staffing of existing programs offered in parks or recreational centers,,Continue funding 18 permanent staff at St. Mary's Recreational Center.    This newly renovated center requires permanent staffing to maintain and provide services to our youth as well as our adult population.,Yes,,St. Mary's Recreational Center,,,,,,,,,,,The NYC Parks is committed to reopening St. Mary's Receration Center and provide adequating staff to offer a variety of programs for members of all ages. ,Agency supports and can accommodate.,1,8239108-4577-2027-BX01-E
BX,Bronx,1,DPR,4578,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",,"Provide Funding for the Green Thumb Gardens in the District. To provide all the gardens in CB1 with on-site running water, electricity, modern fencing as well as clean soil, lumber, and other materials needed to operate a functioning garden. (Previous Tracking No: 101201602C)",No,,,,,,,,,,,,,GreenThumb would welcome capital funding to make critical improvements to community gardens under DPR jurisdiction.,Agency supports but cannot accommodate.,1,8239108-4578-2027-BX01-C
