boro,boardNumber,agencyAcronym,responseId,communityBoardID,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,siteAddress,siteSiteName,siteFacilityName,siteCrossStreet1,siteCrossStreet2,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,currentFYRanking
Staten Island,99,DPR,56,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",More Dog Parks,Continued Support,Waffles demands it.,Yes,1701 Lexington Ave,,,,,,,,,,,,,
Staten Island,99,DPR,61,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,Park maintenance and safety,New equipment for maintenance,Fountains for Roye,,She loves them,No,,,,,,,,,,,,,,3
Staten Island,99,HRA,62,SI99,Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Capital,Services for vulnerable New Yorkers,Other capital budget request for HRA,Raises for Developers,,Need a lot more $$$,No,,,,,,,,,,,,,,1
Staten Island,99,DCLA,64,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other expense budget request for DCLA,Free yogurt,,It's a culture.,No,,,,,,,,,,,,,,1
Staten Island,99,DPR,65,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Even MORE Dog Parks,Continued Support,Waffles will not be satiated.,No,,,,,,,,,,,,,,
Staten Island,99,DOT,66,SI99,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Traffic and traffic flow,"Improve traffic and pedestrian safety, including traffic calming",Dog Lanes,Continued Support,Let them own the streets!,No,,,,,,,,,,,,,,
Staten Island,99,DFTA,68,SI99,Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Services for homebound older adults,Enhance home care services,uhhhh,,hi,Yes,"120 BROADWAY, New York, NY, USA","THE EQUITABLE BUILDING, New York, NY, USA","THE EMPIRE STATE BUILDING, New York, NY, USA",,,,,,,,,,,
Staten Island,99,DFTA,70,SI99,Health Care and Human Services,Needs for Older NYs,Department for the Aging (DFTA),Expense,Senior center programs,Funding for a new senior center program,Bingo,,Was his name-o,Yes,,,,,,,,,,,Uptown,Girl,,
Staten Island,99,DCLA,73,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Capital,Cultural facilities and resources,Other cultural facilities and resources requests,Oil Paintings,,We need to commission some oil paintings of Waffles playing poker.,No,,,,,,,,,,,,,,
Staten Island,99,NYPD,74,SI99,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Other NYPD facilities and equipment requests,jkjl,,hgjhg,No,,,,,,,,,,,,,,
Staten Island,99,LPC,75,SI99,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Landmarks Preservation Commission (LPC),Expense,Landmarks and preservation,Other expense budget request for LPC,THIS IS NEW,,Hello!,No,,,,,,,,,,,,,,
Staten Island,99,DOE,77,SI99,"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Capital,Educational programs,Other capital budget request for DOE,title,,test,No,,,,,,,,,,,,,,
Staten Island,99,NYPD,78,SI99,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Provide surveillance (Argus) cameras,Park Safety Cameras,Continued Support,SOS,No,,,,,,,,,,,,,,
Staten Island,99,DOE,79,SI99,"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Capital,Educational programs,Other capital budget request for DOE,Funding for After School Programs at PS234,,Test,Yes,123 education way,PS234,,,,,,,,,,,,
Staten Island,99,DOE,80,SI99,"Youth, Education, and Child Welfare",Needs for Youth Education,Department of Education (DOE),Capital,Educational programs,Other capital budget request for DOE,title,,content of the request,No,,,,,,,,,,,,,,
Staten Island,99,DSNY,81,SI99,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Provide new or increase number of sanitation trucks and other equipment,Big New Truck,,DSNY needs to add a big truck for our district,No,,,,,,,,,,,,,,
Staten Island,99,NYCTA,82,SI99,Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit service,Other transit service requests,More Buses,Continued Support,test,No,,,,,,,,,,,,,,
